head,relation_type,tail
3des,is_a,block cipher
4g authentication and key agreement protocol,provides,mutual authentication
5g network,supports,aka protocol
access control list,part_of,stateful filter
access point,authenticates,mobile device
access point,receives,link-level frame
aes,encrypts,frame
aes,encrypts,link-layer frame
aes,is_a,block cipher
aes,provides,confidentiality
aes,requires,key
aes,susceptible_to,bruteforce attack
ah,provides,source authentication
aka protocol,provides,key generation
aka protocol,provides,mutual authentication
aka protocol,requires,eap
alice,communicates_with,bob
alice,receives,public key
alice,sends,rsa-encrypted message
almost-tls,variant_of,tls
anomaly-based ids,identifies,icmp
ap,is_a,authentication protocol
ap3.0,is_a,authentication protocol
ap3.0,susceptible_to,eavesdropping
ap3.0,susceptible_to,packet sniffing
ap3.1,prevents,eavesdropping
ap3.1,susceptible_to,playback attack
ap4.0,encrypts,nonce
ap4.0,requires,nonce
application gateway,connects_to,external host
application gateway,connects_to,external server
application gateway,enables,application data
application gateway,enables,telnet
application gateway,is_a,firewall
application gateway,is_a,server
application gateway,runs_on,host
application gateway,supports,deep packet inspection
attach message,contains,international mobile subscriber identity
authentication key,is_a,shared secret
authentication server,authenticates,mobile device
authentication server,provides,authentication services
authentication server,provides,shared session key
authentication server,sends,nonce
base station,forwards,attach message
block cipher,implements,cipher block chaining
block cipher,implements,one-to-one mapping
block cipher,implements,permutation
block cipher,mitigates,brute-force attack
block cipher,requires,key
block cipher algorithm,encrypts,cleartext block
block cipher algorithm,requires,secret key
bob,has_part,private key
bob,has_part,public key
bob,receives,rsa-encrypted message
branch-office gateway router,has_part,security association
branch-office gateway router,manages,security association
ca,authenticates,certificate
ca,provides,certificate
caesar cipher,is_a,algorithm
caesar cipher,requires,session key
caesar cipher,variant_of,monoalphabetic encryption
central ids processor,receives,ids sensor
certificate,contains,public key
certificate,identifies,public key
certificate,identifies,server
certificate authority,authenticates,public key
certificate authority,authenticates,server
checksum,provides,message integrity
chosen-plaintext attack,requires,plaintext
cipher block chaining,requires,block cipher algorithm
cipher block chaining,requires,iv
ciphertext-only attack,requires,ciphertext
client,communicates_with,server
client,connects_to,server
client,encrypts,pre-master secret
client,sends,hmac
client,sends,pre-master secret
confidentiality,prevents,man-in-the-middle attack
connection table,part_of,firewall
crc,variant_of,cryptographic hash function
cryptographic hash function,provides,message integrity
cryptographic hashing,provides,message integrity
cryptography,provides,authentication
cryptography,provides,confidentiality
cryptography,provides,message integrity
cryptography,provides,nonrepudiation
decryption,requires,private key
decryption algorithm,requires,key
decryption algorithm,requires,private key
deep packet inspection,identifies,application data
des,is_a,block cipher
des,provides,confidentiality
des,requires,key
des,susceptible_to,bruteforce attack
diffie-hellman,provides,shared secret
diffie-hellman algorithm,provides,session key
diffie-hellman key exchange,enables,public key cryptography
digital signature,enables,public key certification
digital signature,provides,message integrity
digital signature,requires,hash algorithm
digital signature,requires,private key
digital signature,requires,public key
digital signature,requires,public key infrastructure
dns,susceptible_to,cache poisoning
eavesdropping,is_a,attack
email service,provides,confidentiality
email service,provides,message integrity
email service,provides,receiver authentication
email service,provides,sender authentication
encryption,encrypts,plaintext
encryption,provides,confidentiality
encryption,requires,public key
encryption algorithm,encrypts,plaintext
encryption algorithm,requires,key
esp,provides,confidentiality
e‑mail,is_a,service
firewall,controls,malformed packet
firewall,controls,packet
firewall,forwards,packet
firewall,has_part,connection table
firewall,has_part,packet filter
firewall,receives,datagram
firewall,supports,ack
firewall,supports,icmp
firewall,supports,operational security
firewall,supports,ospf
firewall,supports,port
firewall,supports,tcp
firewall,supports,udp
firewall,susceptible_to,ip spoofing
forwarding table,part_of,router
four-way handshake,provides,mutual authentication
four-way handshake,provides,shared symmetric session key
gateway router,connects_to,isp
gateway router,forwards,packet
gateway router,forwards,telnet
gateway router,implements,firewall
hash function,enables,fingerprint
hash function,enables,message integrity
headquarters gateway router,connects_to,branch-office gateway router
headquarters gateway router,has_part,security association
headquarters gateway router,manages,security association
headquarters gateway router,sends,ipsec datagram
headquarters gateway router,sends,ipv4 datagram
hmac,authenticates,tls record
hmac,implements,md5
hmac,provides,message authentication code
hmac,supports,md5
hmac,supports,sha-1
home subscriber service,contains,secret key
home subscriber service,encrypts,international mobile subscriber identity
home subscriber service,provides,authentication token
home subscriber service,provides,expected authentication response token
host,communicates_with,router
host,has_part,application gateway
host,receives,ipv4 datagram
host,sends,ipsec datagram
host,sends,ipv4 datagram
ids,identifies,icmp
ids,identifies,ping sweep
ids,identifies,port scan
ids,provides,traffic profile
ids sensor,communicates_with,central ids processor
ieee 802.11,operates_at,link layer
ieee 802.11,provides,confidentiality
ike,enables,security association
integrity,prevents,man-in-the-middle attack
integrity,prevents,tampering
internet checksum,is_a,checksum
internet checksum,variant_of,cryptographic hash function
intrusion detection system,prevents,packet
intrusion detection system,supports,operational security
intrusion prevention system,prevents,packet
ip address,identifies,application gateway
ip spoofing,is_a,attack
ipsec,authenticates,ip address
ipsec,contains,transport mode
ipsec,contains,tunnel mode
ipsec,encapsulates,ip datagram
ipsec,encrypts,datagram
ipsec,encrypts,icmp message
ipsec,encrypts,ip datagram
ipsec,encrypts,tcp segment
ipsec,encrypts,udp segment
ipsec,has_part,ah
ipsec,has_part,esp
ipsec,has_part,transport mode
ipsec,has_part,tunnel mode
ipsec,implements,3des
ipsec,implements,hmac
ipsec,operates_at,network layer
ipsec,provides,authentication
ipsec,provides,confidentiality
ipsec,provides,integrity
ipsec,requires,public key certification
ipsec,supports,block cipher
ipsec datagram,contains,esp authentication field
ipsec datagram,contains,esp header
ipsec datagram,contains,esp trailer
ipsec datagram,contains,ipv4 datagram
