head,relation_type,tail,verdict_qwen,verdict_gpt
alias hostname,maps_to,canonical hostname,yes,yes
arin,provides,ip address range,yes,yes
authoritative dns server,provides,ip address,yes,yes
authoritative server,is_a,dns server,yes,yes
bandwidth-sensitive applications,requires,throughput,yes,yes
bit torrent,is_a,protocol,yes,yes
bittorrent,implements,p2p architecture,yes,yes
bittorrent,is_a,protocol,yes,yes
browser,communicates_with,http server,yes,yes
browser,communicates_with,origin server,yes,yes
browser,communicates_with,web cache,yes,yes
browser,communicates_with,web proxy,yes,yes
browser,communicates_with,web server,yes,yes
browser,is_a,client,yes,yes
browser,receives,http response,yes,yes
browser,sends,cookie,yes,yes
browser,sends,cookie header line,yes,yes
browser,sends,header line,yes,yes
browser,sends,http request,yes,yes
cdn,provides,streaming,yes,yes
chrome,implements,http,yes,yes
client,communicates_with,cdn,yes,yes
client,communicates_with,dns server,yes,yes
client,communicates_with,server,yes,yes
client,connects_to,mail server,yes,yes
client,connects_to,server,yes,yes
client,connects_to,web cache,yes,yes
client,measures,rtt,yes,yes
client,measures,throughput,yes,yes
client,receives,http response,yes,yes
client,receives,packet,yes,yes
client,receives,response message,yes,yes
client,sends,http request message,yes,yes
client,sends,packet,yes,yes
client,sends,request message,yes,yes
client,sends,tcp segment,yes,yes
client,sends,udp packet,yes,yes
client program,communicates_with,server program,yes,yes
client program,implements,http,yes,yes
client socket,requires,port number,yes,yes
client-server architecture,has_part,server,yes,yes
client-server architecture,supports,email service,yes,yes
congestion,decreases,throughput,yes,yes
connection-oriented service,requires,handshaking procedure,yes,yes
content distribution network,connects_to,access isp,yes,yes
content distribution network,has_part,server cluster,yes,yes
dash,provides,streaming,yes,yes
dash,runs_on,http,yes,yes
data center,contains,host,yes,yes
data center,enables,streaming video service,yes,yes
dhcp,provides,ip address,yes,yes
dig,communicates_with,dns server,yes,yes
dns,maps_to,ip address,yes,yes
dns,operates_at,application layer,yes,yes
dns,provides,host aliasing,yes,yes
dns,provides,load distribution,yes,yes
