head,relation_type,tail,verdict_qwen,verdict_gpt
agent,communicates_with,managing server,yes,yes
agent,sends,response,yes,yes
agent,sends,trap,yes,yes
as-path,contains,as,yes,yes
autonomous system,has_part,router,yes,yes
bgp,enables,ip-anycast service,yes,yes
bgp,enables,policy,yes,yes
bgp,has_part,as-path,yes,yes
bgp,implements,hot potato routing,yes,yes
bgp,implements,route-selection algorithm,yes,yes
bgp,implements,routing algorithm,yes,yes
bgp,is_a,protocol,yes,yes
bgp,requires,port 179,yes,yes
bgp,routes_to,destination prefix,yes,yes
bgp,routes_to,prefix,yes,yes
bgp,routes_to,prefix x,yes,yes
bgp,runs_on,tcp,yes,yes
buffer,causes,packet loss,yes,yes
buffer,increases,end-to-end delay,yes,yes
cdn,supports,ip-anycast service,yes,yes
centralized routing algorithm,requires,global knowledge,yes,yes
centralized routing algorithm,runs_on,controller,yes,yes
client,communicates_with,cdn,yes,yes
client,communicates_with,web server,yes,yes
client,receives,ip address,yes,yes
client,sends,packet,yes,yes
client host,receives,icmp echo response,yes,yes
congestion,increases,delay,yes,yes
control agent,manages,flow table,yes,yes
control plane,controls,router,yes,yes
control plane,has_part,network-control application,yes,yes
control plane,has_part,sdn controller,yes,yes
controller,communicates_with,control agent,yes,yes
controller,manages,router,yes,yes
controller,provides,forwarding table,yes,yes
cost,measures,number of links traversed,yes,yes
dijkstra's algorithm,enables,shortest path,yes,yes
dijkstra's algorithm,provides,least-cost path,yes,yes
dijkstra's algorithm,requires,link cost,yes,yes
dijkstra's algorithm,runs_on,sdn controller,yes,yes
distance vector,contains,cost,yes,yes
distance vector algorithm,is_a,algorithm,yes,yes
distance vector routing,supports,poisoned reverse,yes,yes
distance-vector algorithm,causes,count-to-infinity problem,yes,yes
distance-vector algorithm,implements,bellman-ford equation,yes,yes
distance-vector algorithm,requires,link cost,yes,yes
distance-vector routing algorithm,implements,bellman-ford equation,yes,yes
domain name,maps_to,ip address,yes,yes
ebgp connection,enables,reachability information,yes,yes
ebgp connection,is_a,bgp connection,yes,yes
edge,part_of,graph,yes,yes
flow table,contains,header field value,yes,yes
flow table,has_part,flow table entry,yes,yes
flow table,part_of,router,yes,yes
flow table,part_of,sdn‑controlled switch,yes,yes
forwarding table,contains,next-hop node,yes,yes
forwarding table,contains,prefix x,yes,yes
forwarding table,maps_to,interface,yes,yes
forwarding table,part_of,node,yes,yes
forwarding table,part_of,router,yes,yes
gateway router,connects_to,router,yes,yes
gateway router,is_a,router,yes,yes
graph,has_part,edge,yes,yes
graph,has_part,node,yes,yes
host,communicates_with,router,yes,yes
host,measures,round‑trip time,yes,yes
host,receives,icmp,yes,yes
host,receives,icmp port unreachable message,yes,yes
host,sends,icmp echo reply,yes,yes
host,sends,icmp echo request,yes,yes
host,sends,icmp port unreachable message,yes,yes
host,sends,ip datagram,yes,yes
hot potato routing,is_a,algorithm,yes,yes
hot potato routing,requires,cost,yes,yes
ibgp connection,enables,reachability information,yes,yes
ibgp connection,is_a,bgp connection,yes,yes
icmp,enables,ping,yes,yes
icmp,enables,traceroute,yes,yes
icmp,is_a,protocol,yes,yes
icmp,provides,error reporting,yes,yes
icmp source quench message,enables,congestion control,yes,yes
interface,has_part,mtu,yes,yes
internal router,connects_to,host,yes,yes
