seed_head,confirmed_bridge,score_1,candidate_1,score_2,candidate_2,score_3,candidate_3,score_4,candidate_4,score_5,candidate_5
4g authentication and key agreement protocol,,0.85,authentication and key agreement,0.85,authentication,0.85,4g,0.57,mutual authentication and key agreement,0.56,authentication and key agreement ( aka ) protocol
5g,,0.85,5ghz frequency band,,,,,,,,
802.11,,,,,,,,,,,
802.11 ac,,,,,,,,,,,
802.11 ax,,0.25,802. 11 ax,,,,,,,,
802.11 frame,,0.85,frame,0.33,rts frame,0.33,frame times,0.33,frame time,0.33,frame structure
802.11 n,,0.25,layer n protocol,0.25,802. 11 n,0.20,go - back - n,,,,
802.1q,,,,,,,,,,,
a record,,0.85,type a record,0.33,tls record,0.33,subnet a,0.33,router a,0.33,resource record
ack segment,,0.85,tcp synack segment,0.85,tcp ack segment,0.85,synack segment,0.85,segment,0.85,ack
address block,,0.85,lock,0.85,ip address blocks,0.85,ip address block,0.33,subnet block,0.33,subnet address
address supporting organization,,0.25,subnet address,0.25,source address,0.25,return address,0.25,physical address,0.25,permanent address
ah,,0.85,yahoo. com,0.85,yahoo mail,0.85,tcp tahoe,0.85,robert kahn,0.85,ah protocol
aka protocol,,0.33,udp protocol,0.33,transport protocol,0.33,tls protocol,0.33,tcp protocol,0.33,ssl protocol
alternating-bit protocol,,0.85,nat,0.85,lte,0.33,udp protocol,0.33,transport protocol,0.33,tls protocol
arq,,0.85,retransmission ( arq ) scheme,0.85,link - layer arq techniques,0.85,arq protocols,0.85,arq protocol,0.85,802. 11 arq protocol
as-path,,0.85,path,,,,,,,,
atheros ar5006 controller,,0.25,xl710 controller,0.25,sdn controller,0.25,remote controller,0.25,opendaylight controller,0.25,omniscient controller
attach message,,0.33,trap message,0.33,tcp message,0.33,status message,0.33,polling message,0.33,ping message
attacker,,0.85,ack,,,,,,,,
authoritative server,,0.85,server,0.85,iv,0.85,authoritative servers,0.67,authoritative dns server,0.33,web server
bandwidth flooding,,0.85,bandwidth,0.40,dos bandwidth - flooding attacks,0.33,wireless bandwidth,0.33,syn flooding,0.33,memory bandwidth
bandwidth-sensitive applications,,0.85,iv,0.85,bandwidth,0.85,ap,0.33,p2p applications,0.33,network applications
block cipher algorithm,,0.85,lock,0.85,ip,0.85,block cipher,0.75,block - cipher algorithm,0.60,block - cipher encryption algorithm
ca,,0.85,wireless communication link,0.85,wired broadcast links,0.85,wired broadcast lan,0.85,window scaling factor,0.85,web proxy caches
cell tower,,0.85,cell towers,0.85,cell,0.33,lte cell,0.33,hexagonal cell,0.33,cell phones
checksumming method,,0.85,checksumming methods,0.85,checksumming,0.85,checksum,0.33,method field,0.33,checksumming techniques
chosen-plaintext attack,,0.85,plaintext,0.85,ack,0.33,vulnerability attack,0.33,truncation attack,0.33,playback attack
cipher block chaining,,0.85,lock,0.85,ip,0.85,cipher block chaining ( cbc ),0.67,block cipher,0.40,block - cipher algorithm
ciphertext-only attack,,0.85,ip,0.85,ciphertext,0.85,ack,0.33,vulnerability attack,0.33,truncation attack
circuit switch,,0.85,tdm circuit switching,0.85,switch,0.85,circuit switching,0.85,circuit switches,0.85,circuit
circuit-switched network,,0.85,switch,0.85,circuit,0.33,wireless network,0.33,wired network,0.33,wifi network
client host,,0.85,host,0.85,client,0.33,wireless host,0.33,tcp client,0.33,source host
client program,,0.85,client,0.67,client ping program,0.33,traceroute program,0.33,tcp client,0.33,smtp client
client-server architecture,,0.85,server,0.85,client,0.33,sdn architecture,0.33,pon architecture,0.33,p2p architecture
column parity,,0.33,simple parity,0.33,parity checks,0.25,single parity bit,0.25,odd parity schemes,0.25,even parity scheme
computer,,0.85,packet - switched computer network,0.85,core of the computer network,0.85,computer network protocols,0.85,computer network protocol,,
congestion-control mechanism,,0.85,congestion,0.33,arp mechanism,0.33,aqm mechanism,0.25,rate adaptation mechanism,0.20,timeout / retransmit mechanism
congestion-control protocol,,0.85,congestion,0.33,udp protocol,0.33,transport protocol,0.33,tls protocol,0.33,tcp protocol
connection-establishment request,,0.33,request rate,0.33,request messages,0.33,request line,0.33,http request,0.33,echo request
connection-oriented service,,0.33,whois service,0.33,wfq service,0.33,telnet service,0.33,service models,0.33,service model
content distribution network,,0.85,content distribution networks,0.50,optical distribution network,0.25,wireless network,0.25,wired network,0.25,wifi network
controller,,0.85,xl710 controller,0.85,switch fabric controller,0.85,sdn controllers,0.85,sdn controller,0.85,remote controller
cookie,,0.85,syn cookies,0.85,cookies,0.85,cookie header line,0.85,cookie header,0.85,cookie file
cost,,0.85,zero - cost path,0.85,monetary cost,0.85,link costs,0.85,link cost increases,0.85,link cost
cryptographic hash function,,0.85,hash function,0.85,graph,0.85,cryptographic hash functions,0.85,ap,0.25,md5 hash
csma/ca,,0.85,csma,,,,,,,,
csma/cd,,0.85,csma,,,,,,,,
csma/cd-like multiple access protocol,,0.85,multiple access protocol,0.85,multiple access,0.85,ip,0.85,ike,0.85,csma
customer isp,,0.85,isp,0.85,customer isps,0.33,small isp,0.33,residential isp,0.33,regional isp
data center interconnection network,,0.85,interconnection network,0.85,data center,0.75,data center network,0.60,data center network designs,0.40,network operations center
ddos attack,,0.85,ddos attacks,0.85,ack,0.33,vulnerability attack,0.33,truncation attack,0.33,playback attack
decryption,,0.85,decryption algorithm,,,,,,,,
dedicated end-to-end connection,,0.33,dedicated end - to - end connection,0.25,tcp connection,0.25,socket connection,0.25,secure connection,0.25,quic connection
destination end system,,0.85,nat,0.85,end system,0.85,destination,0.85,des,0.25,head end
